,sitc4,exporter,value,rca
49893,7752,Areas NES,630,0.10614715124983487
49964,7753,Areas NES,344,0.2484324469559691
50031,7757,Areas NES,3546,0.43865447693337484
50099,7758,Areas NES,3876,0.2468277933399892
50198,775X,Areas NES,76,23.551286741663226
50221,7761,Areas NES,40496,4.565052842116107
50276,7762,Areas NES,670,0.09206712311418198
50331,7763,Areas NES,21858,0.7758303205185272
50415,7764,Areas NES,301946,1.2823477653585358
50520,7768,Areas NES,27208,0.752095328291042
50612,776X,Areas NES,52,14.120246113796302
50642,7781,Areas NES,10870,0.6318603594764998
50745,7782,Areas NES,4238,0.5590197599810675
50821,7783,Areas NES,20770,1.4677959318634854
50900,7784,Areas NES,1484,0.23699751334154143
50964,7788,Areas NES,61092,1.0670275353536594
51087,778X,Areas NES,286,37.68701005811554
51132,77XX,Areas NES,190,24.51922771693336
51185,7810,Areas NES,349228,1.1885816901502368
51318,7821,Areas NES,52490,0.9846378840535513
51410,7822,Areas NES,1560,0.4884037674858102
51580,7832,Areas NES,6492,0.7372142417347481
51651,7841,Areas NES,48094,23.08281192036968
51699,7842,Areas NES,402,0.13467289752171394
51757,7849,Areas NES,288606,2.093681017444708
51874,784X,Areas NES,48,16.099680674447285
51891,7851,Areas NES,278,0.029457940786389476
51947,7852,Areas NES,1850,0.5575982401228553
52005,7853,Areas NES,2246,0.321591989755088
52092,7861,Areas NES,4332,0.9996531539251072
52176,7868,Areas NES,722,0.15815662174456452
52249,786A,Areas NES,250,137.30957898715246
52275,78XX,Areas NES,434,138.4409964727602
52310,7911,Areas NES,7456,28.290630151842155
52413,7915,Areas NES,29990,25.89657934042322
52457,7919,Areas NES,3678,0.9220101653999632
52522,791X,Areas NES,250,99.77549039724938
52532,7921,Areas NES,3122,1.1504523976250973
52614,7923,Areas NES,710,0.06300058322246752
52763,7929,Areas NES,7792,0.20188274905073889
52862,792A,Areas NES,254,30.907365263487485
52929,7932,Areas NES,22392,0.7924497917433133
53085,7938,Areas NES,7756,1.8380418109875687
53167,793X,Areas NES,34,96.05270191001544
53198,7XXX,Areas NES,20,2.9131041600404126
53323,8121,Areas NES,434,0.1153740283321272
53455,8124,Areas NES,2666,0.1884755656017166
53550,812A,Areas NES,326,180.57391578988867
53652,814,Areas NES,1141,3.474350394795944
53772,8211,Areas NES,16946,0.6544740599864337
53879,8212,Areas NES,504,0.08897598771364143
53973,8219,Areas NES,8774,0.2632513298391039
54110,821X,Areas NES,150,93.6336218865684
54132,8310,Areas NES,7966,0.41981825899242486
54243,8421,Areas NES,1318,0.8974911218600942
54335,8422,Areas NES,1170,0.4409010245736352
54426,8423,Areas NES,17566,0.9922884000989556
54557,8424,Areas NES,3038,1.124656016852162
54652,8429,Areas NES,4556,0.523404010142118
54776,842X,Areas NES,104,37.449136325294646
54792,8431,Areas NES,3856,0.6432345418829822
54972,8433,Areas NES,1148,0.2904293262463934
55077,8434,Areas NES,1278,0.3108994360901169
55183,8435,Areas NES,2484,0.35059577098142425
55294,8439,Areas NES,11346,0.4195308768737928
55439,843X,Areas NES,666,99.09714238717206
55458,8441,Areas NES,9234,0.8536756184830384
55661,8443,Areas NES,298,0.23823525594074518
55756,844X,Areas NES,20,8.336300069335959
55774,8451,Areas NES,7586,0.2444286716594322
55897,8452,Areas NES,844,0.32062928597771473
55999,8459,Areas NES,7610,0.4091323031186538
56138,845X,Areas NES,258,130.87747713234992
56157,8462,Areas NES,12262,0.5238496354772623
56288,8463,Areas NES,454,0.11560561975636972
56398,8465,Areas NES,350,0.06685704403782412
56494,846X,Areas NES,154,230.6579969040964
56510,8471,Areas NES,624,0.14934220795878517
56606,8472,Areas NES,1234,0.2993966014576511
56702,847X,Areas NES,42,8.57482992443388
